epoch,step,lr,train_loss,val_loss
1,563,9.693508641042725e-05,0.15280457285975585,0.05350826293604929
2,1126,8.81198888866202e-05,0.041786936297020204,0.033195461510862195
3,1689,7.464603646637619e-05,0.033909478573853125,0.029827173051875343
4,2252,5.8182062215824716e-05,0.02941024467865167,0.03300869289035879
5,2815,4.076678061653671e-05,0.028309508301665075,0.026319749724799356
6,3378,2.455681119335652e-05,0.024995205299035508,0.024403865665853397
7,3941,1.1559513767361478e-05,0.023694927844907062,0.023253136779527245
8,4504,3.384407268193912e-06,0.021678469919427554,0.023317853559347443
