epoch,step,lr,train_loss,val_loss
1,531,9.727044619252292e-06,3.8743130213347756,2.3011596972147625
2,1062,8.938281361808845e-06,2.047327239185628,1.8229021196365356
3,1593,7.720698985348564e-06,1.6799057663721777,1.5402331682840984
4,2124,6.208578565086944e-06,1.4419677560612307,1.3403960148493448
5,2655,4.568684305084129e-06,1.282620776620064,1.216620324452718
6,3186,2.9818719476128777e-06,1.1815596423804648,1.1420105250676473
7,3717,1.6231430972019463e-06,1.1216912360514624,1.0913193480173746
8,4248,6.423451682743057e-07,1.0899626394898654,1.0736571890513102
9,4779,1.4764546269943145e-07,1.0752160708558538,1.0692174005508424
