epoch,step,lr,train_loss,val_loss
1,531,9.727044619252296e-05,0.27268570075039583,0.1821783227523168
2,1062,8.938281361808844e-05,0.1756749380583368,0.16905860177675883
3,1593,7.720698985348549e-05,0.16512080599078574,0.16438581538200378
4,2124,6.208578565086927e-05,0.16467554202889095,0.15743889876206715
5,2655,4.568684305084122e-05,0.1622487497559824,0.15889681386947632
6,3186,2.9818719476128646e-05,0.15981906797673742,0.1507910232345263
7,3717,1.623143097201944e-05,0.15865145588605867,0.15139948534965514
8,4248,6.423451682742957e-06,0.1561086212342742,0.15496544416745503
9,4779,1.476454626994291e-06,0.15155658211467854,0.15421838488181433
